             name              | total_languages 
 Shirley Rousseau Murphy       |               2
 Sholom Aleichem               |               2
 Sigrid Undset                 |               2
 Simon Vance                   |               2
 Smith Palmer Bovie            |               2
 Stanisaw Lem                  |               2
 Stanley Appelbaum             |               2
 Stanley Bing                  |               2
 Stanley Lombardo              |               2
 Stanley Wiater                |               2
 Stephen Greenblatt            |               2
 Stephen Hawking               |               2
 Stephen Hunter                |               2
 Stephen Jay Gould             |               2
 Stephen M Pollan              |               2
 Stephen R Covey               |               2
 Stephen Rebello               |               2
 Steve Erickson                |               2
 Steve Martini                 |               2
 Steve Perry                   |               2
 Steve Yeowell                 |               2
 Steven Johnson                |               2
 Steven Pressfield             |               2
 Stewart Brand                 |               2
 Stormie Omartian              |               2
 Stuart Gilbert                |               2
 Stuart Woods                  |               2
 Sue Monk Kidd                 |               2
 Susan Hill                    |               2
 Susan Howatch                 |               2
 Sylvia Nasar                  |               2
 TH White                      |               2
 Tacitus                       |               2
 Takeshi Obata                 |               2
 Tamora Pierce                 |               2
 Tananarive Due                |               2
 Tanith Lee                    |               2
 Ted Honderich                 |               2
 Ted Hughes                    |               2
 Temple Grandin                |               2
 Terence Kilmartin             |               2
 Terry C Johnston              |               2
 Terry Eagleton                |               2
 Terry Jones                   |               2
 Tess Gerritsen                |               2
 Thomas Aquinas                |               2
 Thomas Cahill                 |               2
 Thomas Colchie                |               2
 Thomas Hardy                  |               2
 Thomas Harlan                 |               2
 Thomas L Friedman             |               2
 Thucydides                    |               2
 Tobias Wolff                  |               2
 Todd Gitlin                   |               2
 Tom Clancy                    |               2
 Tom Humphries                 |               2
 Tom Morris                    |               2
 Tomie dePaola                 |               2
 Tommy Lee Edwards             |               2
 Toni Bentley                  |               2
 Tony Hawks                    |               2
 Tony Ross                     |               2
 Tracy Hickman                 |               2
 Troy Howell                   |               2
 Tsugumi Ohba                  |               2
 Tsutomu Nihei                 |               2
 Ursula Hegi                   |               2
 Ursula K Le Guin              |               2
 VS Naipaul                    |               2
 Various                       |               2
 Vera Neville                  |               2
 Victor Hugo                   |               2
 Viggo Mortensen               |               2
 Vijay Prashad                 |               2
 Vince Flynn                   |               2
 Virginia Woolf                |               2
 W Frederick Zimmerman         |               2
 WHD Rouse                     |               2
 WS Merwin                     |               2
 Wallace Stegner               |               2
 Wally Lamb                    |               2
 Walt Disney Company           |               2
 Walter Blanco                 |               2
 Walter Hamilton               |               2
 Walter J Savitch              |               2
 Walter Kaufmann               |               2
 Walter Scott                  |               2
 Wayne G Hammond               |               2
 Wilhelm Grimm                 |               2
 Wilkie Collins                |               2
 Will Eisner                   |               2
 Will Ferguson                 |               2
 Willard R Trask               |               2
 William  James                |               2
 William Faulkner              |               2
 William Gaddis                |               2
 William Gibson                |               2
 William Golding               |               2
 William Irwin                 |               2
 William J Bennett             |               2
 William L Shirer              |               2
 William Manchester            |               2
 William Morris                |               2
 William Rodney Allen          |               2
 William S Burroughs           |               2
 William Saroyan               |               2
 William Sleator               |               2
 William T Vollmann            |               2
 Wole Soyinka                  |               2
 Yoshitaka Amano               |               2
 Yuki Shimizu                  |               2
 Yukito Kishiro                |               2
 Yumi Hotta                    |               2
 Zora Neale Hurston            |               2
 mile Zola                     |               2

